WEX Connect Rate,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,Clearing Fee,Total Charge,drv_trade_client_account_execution_id
0,1/15/2021,EMureau,ISE-OPT,SLO,10,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.5000,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,10,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.5000,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,3,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,11,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.5500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,7,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.3500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1000,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,2,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.1000,331166
0,1/15/2021,EMureau,ISE-OPT,SLO,1,PINS,PINS,18/06/2021,$47.00,P,$3.20,BNP,Per Unit,0.05,0,0,$0.0500,331166
