Clearing Fee,User,Date,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,WEX Connect Rate,Exch\. Fee Rate,Total Charge
0,DSmanik,08/02/2021,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,DSmanik,08/02/2021,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.42,$(0.7400)
0,DSmanik,08/02/2021,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,DSmanik,08/02/2021,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,$(0.5000)
0,DSmanik,08/02/2021,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.11,VIVALDI-OMNI,Per Unit,0.05,0,-0.25,$(0.2000)
0,DFilippidis,08/02/2021,PHLX-WEX-CONNECT,b,500,EEM,EEM,20/01/2023,$40.00,P,$1.83,UBS-CUST,Per Unit,0.05,0.02,0,$35.0000
0,DFilippidis,08/02/2021,PHLX-WEX-CONNECT,b,1000,GDX,GDX,17/06/2022,$35.00,P,$4.10,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,DFilippidis,08/02/2021,PHLX-WEX-CONNECT,b,1000,GDX,GDX,17/06/2022,$35.00,C,$3.95,UBS-CUST,Per Unit,0.05,0.02,0,$70.0000
0,DFilippidis,08/02/2021,AWAY-MIZUHO-OSCARGRUSS,b,300,PYPL,PYPL,20/08/2021,$270.00,P,$5.65,MIZUHO,Per Unit,0.05,0.02,0,$21.0000
0,DSmanik,08/03/2021,WEX-SWEEP,s,10,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$5.5000
0,DSmanik,08/03/2021,WEX-SWEEP,s,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$2.2000
0,DSmanik,08/03/2021,WEX-SWEEP,s,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$4.4000
0,DSmanik,08/03/2021,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$1.1000
0,DSmanik,08/03/2021,WEX-SWEEP,s,9,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$4.9500
0,DSmanik,08/03/2021,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$0.5500
0,DSmanik,08/03/2021,WEX-SWEEP,s,4,IPOF,IPOF,17/09/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0,0.5,$2.2000
0,DSmanik,08/03/2021,WEX-SWEEP,s,1,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,-0.3,$(0.2500)
0,DSmanik,08/03/2021,WEX-SWEEP,s,8,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.48,$4.2400
0,DSmanik,08/03/2021,WEX-SWEEP,s,2,IPOF,IPOF,17/09/2021,$10.00,C,$0.08,VIVALDI-OMNI,Per Unit,0.05,0,0.49,$1.0800
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,40,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$2.1000
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,29,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$1.5225
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,56,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$2.9400
0,DFilippidis,08/03/2021,PHLX-WEX-CONNECT,b,700,PSTG,PSTG,20/01/2023,$17.50,P,$3.00,UBS-CUST,Per Unit,0.05,0.02,0,$49.0000
0,DSmanik,08/03/2021,WEX-SWEEP-SPRD,s,28,LUXA,LUXA,15/10/2021,$10.00,C,$0.17,MILTON,Per Unit,0.05,0,0.0025,$1.4700
0,DSmanik,08/03/2021,WEX-SWEEP,b,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,DSmanik,08/03/2021,WEX-SWEEP,b,8,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$7.2000
0,DSmanik,08/03/2021,WEX-SWEEP,b,16,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$14.4000
0,DSmanik,08/03/2021,WEX-SWEEP,b,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,DSmanik,08/03/2021,WEX-SWEEP,b,5,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$4.5000
0,DSmanik,08/03/2021,WEX-SWEEP,b,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,DSmanik,08/03/2021,WEX-SWEEP,b,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.0025,$0.6300
0,DSmanik,08/03/2021,WEX-SWEEP,b,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.2000
0,DSmanik,08/03/2021,WEX-SWEEP,b,10,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.4000
0,DSmanik,08/03/2021,WEX-SWEEP,b,28,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$25.2000
0,DSmanik,08/03/2021,WEX-SWEEP,b,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.5500
0,DSmanik,08/03/2021,WEX-SWEEP,b,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.0025,$0.0525
0,DSmanik,08/03/2021,WEX-SWEEP,b,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0,$0.0500
0,DSmanik,08/03/2021,WEX-SWEEP,b,2,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$1.8000
0,DSmanik,08/03/2021,WEX-SWEEP,b,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$0.9000
0,DSmanik,08/03/2021,WEX-SWEEP,b,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.65,$2.8000
0,DSmanik,08/03/2021,WEX-SWEEP,b,12,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.4800
0,DSmanik,08/03/2021,WEX-SWEEP,b,1,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,-0.01,$0.0400
0,DSmanik,08/03/2021,WEX-SWEEP,b,11,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$9.9000
0,DSmanik,08/03/2021,WEX-SWEEP,b,3,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$2.7000
0,DSmanik,08/03/2021,WEX-SWEEP,b,16,CANO,CANO,17/09/2021,$7.50,P,$0.14,DIFESA-OMNI,Per Unit,0.05,0,0.85,$14.4000
0,DSmanik,08/03/2021,WEX-SWEEP,b,4,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$3.6000
0,DSmanik,08/03/2021,WEX-SWEEP,b,20,CANO,CANO,17/09/2021,$7.50,P,$0.15,DIFESA-OMNI,Per Unit,0.05,0,0.85,$18.0000
